title,percentage of dislike
" PTT可以空白噓          掛?
",98.0
" 文組給我進來，學文學史到底有啥屁用？
",70.0
" 文組給我進來，學文學史到底有啥屁用？
",68.0
" 全民瘋搶第3劑 「疫苗一定夠」 陳時中：
",68.0
" 昔和太太擠雅房度日！ 鄭弘儀授「買房口
",67.0
" 蔡桃貴睡前偷渡1玩具！二伯「頭髮毀了」
",96.0
" 雞排妹深夜放送福利！「粉紅蕾絲丁字褲
",87.0
" 傅娟母親離世　歐陽娜娜「沒見最後一面
",82.0
" 一劑都沒打 200萬人難擋Omicron
",75.0
" 衛福部「2年前貼文」示警注意疫情！網友瘋朝聖：感謝守護台
",75.0
" 蔡英文力挺「明天送林靜儀回立法院 」　
",82.0
" 蔡英文現身挺林昶佐！喊話終結惡意的罷免
",83.0
" 挺林靜儀！陳柏惟「哭了」：明天我們會光
",76.0
" 幫林昶佐站台！王美花：「疫情爆發時他幫
",68.0
" 不該稱確診者為「破口」！蔡英文為第一線
",79.0
" 遭抹黑沒在做事 林昶佐：大小事都服務、
",80.0
" 雨夜裡陪林昶佐車隊掃街 林佳龍：我見證
",82.0
" 呱吉力挺林昶佐　喊話：出來投反對票「
",73.0
" 珍奶去冰「剩半杯」！顧客氣炸投訴　店家
",74.0
" 民進黨提案「增設青年副院長」低於30歲　
",67.0
" 昨稱沒必要今機場全面採檢 陳時中：因應
",68.0
" PTT現空白回文　林昶佐：降低對言論自由
",74.0
" 綠委提修憲：政院增設「青年副院長」 不
",77.0
" 罷昶凸槌PTT發空白文攻擊　林昶佐：消耗
",72.0
" 最恐怖心機婊? 李靖蕾佈局8年要害王力宏?
",74.0
" 遇到男同志邏輯就崩壞？反甲不要以偏概
",69.0
" 疫情蔓延只顧選舉？蘇貞昌霸氣宣示「都在
",73.0
" 深夜限定!雞排妹久違脫了 辣穿「情趣丁字
",82.0
" 林靜儀大肚造勢晚會 林飛帆：這次要用盡
",74.0
" 為林靜儀助選 林右昌：每次選舉都有人住
",77.0
" 林靜儀幫忙阻擋Delta病毒 潘孟安帶屏東隊
",85.0
" 基隆市長林右昌：中二選區聽聞有人在收
",80.0
" 遭批不為萬華說話 林昶佐：我是發聲最大
",73.0
" 丁字褲太小！雞排妹解放三角洲　一轉身「神秘肉色」炸出
",90.0
" 警察臨檢問「車上有違禁品？」新手駕駛
",73.0
" 柯文哲嫌防疫旅館體檢3月完成太慢　陳時
",76.0
"桃機群聚擴大？蔡英文提醒這「三招」全
",81.0
"雨中陪林靜儀掃街　林飛帆：終結濫用罷免
",83.0
"總統顧選情不顧疫情？林昶佐：有人操作罷
",78.0
"蔡英文：第一線邊境人員承擔染疫風險「
",79.0
"「正義對抗惡霸!」林智堅:讓林昶佐成小英最強後盾
",74.0
"印度神童最新預言曝光 台灣等4國全中 疫情高峰這時結束
",78.0
"B8「正英站」預定地旁　顏家擁2筆土地達
",69.0
"台中市市政建設都被延宕，人口首次下降
",67.0
"「從沒反對3＋11」 林昶佐：罷免理由非常
",81.0
"反惡罷！林智堅、林飛帆合體林昶佐　催
",95.0
"蔡英文：清潔人員與防疫計程車司機 不該被
",71.0
"蔡英文：林昶佐服務很多 連總統都是他服
",72.0
"輝瑞口服藥洽購「差一步」　陳時中：數
",75.0
"蔡英文細數林昶佐3大表現　在地服務、國
",84.0
"交通部擬嚴修法 酒駕重考者須以酒精鎖車
",77.0
"反罷昶最新CF公布! 蘇貞昌本色演出
",67.0
"蘇貞昌赴指揮中心視察 呼籲國人「不要當
",80.0
"高端：疫苗對Omicron有保護力
",70.0
"找到人了！蘇貞昌喊冤「誤會」 婉拒見太
",79.0
"林昶佐合體林靜儀拍片 最新CF曝光：團結作伙疼惜台灣
",76.0
"李靚蕾有拿出證據過嗎?想惡意汙衊王力宏?
",74.0
"影／賴清德拍片力挺林靜儀、林昶佐　「
",73.0
"為何交友軟體幾乎都要課金?
",73.0
"終結罷林！Doris抱病陪掃街　林昶佐心疼
",81.0
"館長「3個月沒收入」虧損金額曝 急喊與病毒共存：再封城會發
",68.0
"派愛族(pairs)使用一個月後的感想，燒錢
",72.0
"蔡英文、賴清德連3天衝刺活動曝　親自下
",81.0
"林靜儀競選影片催淚 蔡英文籲為家投票 
",84.0
"為啥政府不要立一個反支語法
",68.0
"西安封城悲劇 網傳多人因失救死亡
",71.0
"去年GDP破6％？ 蔡英文向業界喊話：記得
",78.0
"外界若講對萬華不公的話 林昶佐：第一個
",87.0
"林昶佐反駁未幫萬華去除污名　「疫情剛爆
",77.0
"「珍惜這份工作！」林昶佐：為鄉親發聲是
",75.0
"外省殺人集團臉不紅氣不喘耶
",75.0
"王力宏離婚協議被騙了？她揭驚人內幕：李
",87.0
"年終領40個月騙僅10個月　7年妻罵自私
",78.0
"力挺林昶佐！柯建銘：沒站出來我會睡不著
",78.0
"蘇貞昌：請王國材蒐整意見再安排與太魯
",85.0
"有片／哭了！林靜儀關鍵影片曝光　讓蔡英
",87.0
"民進黨7執政縣市首長拍片催票 挺林靜儀林
",73.0
"王力宏員工不忍反擊李靚蕾 鄉民女神說話了
",85.0
"當同志又領養小孩是什麼邏輯？
",68.0
"11名藝人恐遭張庭波及 鄉民女神列名單羅志祥　 
",72.0
"早安 Ptt又害死人了 鄉民滿意了嗎 水桶
",68.0
"蔡英文論文門爭議延燒　「校友議員」揭
",68.0
"柯媽當顏寬恒面怒譙「豪洨白賊話」！四叉
",76.0
"桃機增4例本土　蘇貞昌暖喊「沒人願意染
",69.0
"2022新制上路　蔡英文1張圖報你知四大類
",76.0
"斷炒房金流 最強撒手鐧來了
",70.0
"罷免案後入民進黨？ 林昶佐公佈答案
",89.0
"陳佩琪超在意柯文哲吹冷風　焦糖轟：要
",78.0
"強震先發臉書PTT？醫護提醒這事：晃完再
",84.0
"影／不力挺晚上會睡不著　柯建銘：林昶佐
",67.0
"獨／好消息！酒駕毀家一家四口　父女3人
",69.0
