王力宏,王熱度,政治,,公投,,疫情,,社會,,影視
力宏,123758,柯文哲,57919,黃士修,14905,陳時中,15113,林秉樞,29228,華燈初上
靚蕾,47986,蔡英文,55704,不同意,24336,確診,27252,高嘉瑜,6591,千萬別抬頭
徐若瑄,18156,民進黨,28830,天然氣,7863,疫苗,17898,酒駕,63906,蜘蛛人
演藝圈,4062,林昶佐,22680,綁大選,7102,防疫,11342,木子,,
蕾神,21415,顏寬恒,21949,定缺電,5058,染疫,9118,詐死,,
宏宏,12681,國民黨,19699,公投,112761,桃機,9041,自殺,,
離婚,12385,侯友宜,17685,萊豬,35875,防疫旅館,,室友還原,,
劣跡藝人,,林靜儀,13355,核四,27017,打高端,,一家四口,,
你不知道的事,,林智堅,12390,同意票,4212,高端疫苗,,指控台大,,
黃綠紅,,陳其邁,11168,核電,8638,疫情,,變電所,,
,,蘇貞昌,11084,藻礁,8487,,,,,
,,韓國瑜,10758,電廠,7620,,,,,
,,趙少康,9764,群聚,7264,,,,,
,,民眾黨,7777,,,,,,,
,,罷免,8514,,,,,,,
,,高嘉瑜,,,,,,,,
,,新竹合併,,,,,,,,
,,尼加拉瓜,,,,,,,,
,,立陶宛,,,,,,,,
,,總統,,,,,,,,
,,江啟臣,,,,,,,,
,,縣市合併,,,,,,,,
,,王美花,,,,,,,,
